group,term,synonym,isWord
Частини тіла людини,🍆,агрегат,1
Частини тіла людини,🍆,антена,1
Частини тіла людини,🍆,апарат,1
Частини тіла людини,🍆,аргумент,1
Частини тіла людини,🍆,багатство,1
Частини тіла людини,🍆,балда,1
Частини тіла людини,🍆,банан,1
Частини тіла людини,🍆,бандура,1
Частини тіла людини,🍆,бен,1
Частини тіла людини,🍆,бидло,1
Частини тіла людини,🍆,біда,1
Частини тіла людини,🍆,бобик,1
Частини тіла людини,🍆,болванка,1
Частини тіла людини,🍆,болт,1
Частини тіла людини,🍆,бомко,1
Частини тіла людини,🍆,брехунець,1
Частини тіла людини,🍆,буйок,1
Частини тіла людини,🍆,булава,1
Частини тіла людини,🍆,бурулька,1
Частини тіла людини,🍆,буц,1
Частини тіла людини,🍆,вабик,1
Частини тіла людини,🍆,валек,1
Частини тіла людини,🍆,варган,1
Частини тіла людини,🍆,вар'ят,1
Частини тіла людини,🍆,васильок,1
Частини тіла людини,🍆,вася,1
Частини тіла людини,🍆,взацний член тіла,0
Частини тіла людини,🍆,визволювач,1
Частини тіла людини,🍆,викрутас,1
Частини тіла людини,🍆,вимагач,1
Частини тіла людини,🍆,вискочка,1
Частини тіла людини,🍆,відкривач,1
Частини тіла людини,🍆,відросток,1
Частини тіла людини,🍆,вламувач,1
Частини тіла людини,🍆,воловий ріг,0
Частини тіла людини,🍆,волохач,1
Частини тіла людини,🍆,воробчик,1
Частини тіла людини,🍆,ворохобник,1
Частини тіла людини,🍆,враза,1
Частини тіла людини,🍆,вразливе місце,0
Частини тіла людини,🍆,гад,1
Частини тіла людини,🍆,гаспид,1
Частини тіла людини,🍆,герой,1
Частини тіла людини,🍆,голуб,1
Частини тіла людини,🍆,горобець,1
Частини тіла людини,🍆,горобчик,1
Частини тіла людини,🍆,господар,1
Частини тіла людини,🍆,грішне місце,0
Частини тіла людини,🍆,грішник,1
Частини тіла людини,🍆,гусяча шийка,0
Частини тіла людини,🍆,гвинт,1
Частини тіла людини,🍆,гвоздь,1
Частини тіла людини,🍆,гила,1
Частини тіла людини,🍆,гнис,1
Частини тіла людини,🍆,гнись,1
Частини тіла людини,🍆,гулька,1
Частини тіла людини,🍆,гуля,1
Частини тіла людини,🍆,двадцять перший палець,0
Частини тіла людини,🍆,дзигарнічка,1
Частини тіла людини,🍆,дзюрик,1
Частини тіла людини,🍆,дибло,1
Частини тіла людини,🍆,дишель,1
Частини тіла людини,🍆,діло,1
Частини тіла людини,🍆,дітородний орган,0
Частини тіла людини,🍆,дітородник,1
Частини тіла людини,🍆,добро,1
Частини тіла людини,🍆,довбня,1
Частини тіла людини,🍆,довбуш,1
Частини тіла людини,🍆,довгошиїй,1
Частини тіла людини,🍆,дойок,1
Частини тіла людини,🍆,достиглий овоч,0
Частини тіла людини,🍆,дрючок,1
Частини тіла людини,🍆,дубова колода,0
Частини тіла людини,🍆,дуда,1
Частини тіла людини,🍆,дундлик,1
Частини тіла людини,🍆,дурень,1
Частини тіла людини,🍆,дурінь,1
Частини тіла людини,🍆,дюбель,1
Частини тіла людини,🍆,ейфелева вежа,0
